GNames	Control_1	Control_2	Control_3	IL6_1	IL6_2	IL6_3
DNMT3A	12.9385994654081	7.46998677845379	10.4162664182944	13.4260794733816	8.94821556986388	11.2798206861208
DNMT3B	0.336210746242407	0.507478112684634	0.498323987419457	0.327357022242823	0.35840646334306	0.259837866758917
DNMT3L	0.0906392027658329	0	0.0219834626334696	0.0496419319415939	0.0207049191210312	0.120085379371551
DNPEP	11.6381033776412	6.73708412862655	12.1747626052158	11.5923481085828	7.58115964078607	10.5052541895192
DNPH1	26.7951782238566	11.226910433326	25.9954095322556	22.6456238635088	10.9753772554101	20.3514034331171
DNTT	0	0	0	0	0	0
DNTTIP1	50.3092310080369	28.9453955602417	65.9764274957843	46.9061601748265	31.2859660199062	57.5963033989499
DNTTIP2	24.5434330100622	25.8199222956754	29.1253047519498	27.0722503510408	30.5940443893003	34.8287261325722
DOC2A	1.17909687992235	0.275571791288977	0.313651042714917	0.645776278603056	0.295409307718017	0.151176089955705
DOCK1	6.28178161809325	7.41300555872494	7.25220061599383	5.74242621806048	7.80619139740917	7.88373332524289
DOCK10	25.5386798667813	30.2151089206598	32.3157152727025	24.5985959713615	27.5764725245864	33.4758404818132
DOCK11	19.4463282644365	28.3314287447352	19.2133741166813	19.4680430894716	28.4663629827887	23.282416754242
DOCK2	31.424553814409	31.2830536015509	26.3759862978222	33.0118441600168	30.1806436580183	32.3647471230212
DOCK3	23.9790621886223	20.2097194183099	21.9795553380167	20.6577629094127	17.9583857698357	21.9089802523221
DOCK4	10.4549598936651	11.6882031775022	12.3636490425244	11.8665816307905	13.0019844009109	16.6552073622006
DOCK4-AS1	0.0310432952619927	0.0374855189692572	0.0451750964326695	0.0340040314374916	0.0283651619977488	0.0205642027644193
DOCK5	49.2873309842482	39.6314024464759	55.9490908340757	46.1842777427285	38.2710218374621	68.8398378004393
DOCK6	2.32631178871036	1.41924567663756	2.64090084353498	2.22132132265257	1.31320949542434	2.29944738167866
DOCK7	8.47022291555951	14.8746574686991	9.53691353258982	9.66566091441257	14.9939971560517	11.961793947521
DOCK8	40.8399082842364	45.4992627216242	46.2730102512718	43.559609982026	43.7239707589345	50.6744041351414
DOCK9	0.479534019899299	0.837103097469485	0.627037182326517	0.884964577027099	0.909666948917998	0.732000737171112
DOCK9-AS1	0	0	0	0	0	0
DOHH	2.66169756450271	0.550982272036061	2.17647003576234	1.45777770848755	0.364810574929527	1.71282755754363
DOK1	23.1359190336251	11.9540996831705	29.59516299695	22.571286087525	12.5131155587927	25.6001240065328
DOK2	6.21096654675833	2.71808099600606	3.47785432081992	4.72580573312733	2.41860028499273	2.59564226531478
DOK3	101.15728112078	52.4645071123451	119.820080491317	95.3334705760098	54.1051357309168	98.5612264497967
